"Sweep - Function 1" 
"Frequency vs Frequency"
"X (Hz)","Ch-1 (Hz)","Ch-2 (Hz)"
15.9365266976801,-0.880339607494542,-38.1138158524682
16.6953564132427,-0.973925417389641,-38.1103134352123
17.490318376951,-1.05523939687804,-38.0975677578038
18.3231330530005,-1.18565206178982,-38.1271535899117
19.1956028267843,-1.32267542311339,-38.0872963478874
20.109615905633,-1.45087996950059,-38.1082292933554
21.0671504052908,-1.65873068735758,-38.117634995723
22.0702786309718,-1.83709896107154,-38.1234791894074
23.1211715622632,-2.04617876997223,-38.1231358983546
24.2221035515793,-2.34088027303002,-38.1368081893272
25.375457246337,-2.58690546692336,-38.1330901127854
26.5837287455033,-2.93586464981049,-38.1385654142046
27.8495330016766,-3.31604912234802,-38.1443250295863
