"Sweep - Function 1" 
"Frequency vs Frequency"
"X (Hz)","Ch-1 (Hz)","Ch-2 (Hz)"
24.2221035515793,-41.4804077148437,0
25.375457246337,-41.6322631835938,0
26.5837287455033,-45.4358215332031,0
27.8495330016766,-47.0484237670898,0
29.1756094803921,-51.9222412109375,0
30.5648280888982,-54.1540222167969,0
32.0201953872378,-57.244987487793,0
33.5448610950733,-57.1755790710449,0
35.14212490834,-62.9379806518555,0
36.815443640479,-65.6861877441406,0
38.5684387037059,-67.8926467895508,0
40.4049039465049,-71.1165771484375,0
42.3288138643118,-72.6920776367188,0
44.3443322011546,-77.4550933837891,0
46.4558209608676,-74.2697601318359,0
48.6678498473812,-61.1790046691895,0
50.9852061545186,90.5056762695313,0
53.4129051267022,77.8378067016602,0
55.9562008129931,77.6180572509766,0
58.6205974379534,73.775505065918,0
61.4118613139415,72.9453735351563,0
64.3360333206193,69.2022247314453,0
67.3994419786816,63.3316535949707,0
70.6087171460998,60.2963676452637,0
73.9708043665239,56.6409797668457,0
77.4929799008929,54.2365646362305,0
81.1828664747883,50.7487945556641,0
85.0484497756082,48.5293731689453,0
89.0980957352678,45.6126289367676,0
93.3405686358281,43.2649154663086,0
97.7850500772385,40.8944320678711,0
102.441158848241,38.7567367553711,0
107.318971743446,36.7665786743164,0
112.429045371623,34.8649597167969,0
117.782439002416,33.0773162841797,0
123.390738500919,31.3926086425781,0
129.266081401913,29.8035430908203,0
135.421183178035,28.3078994750977,0
141.869364758724,26.8955898284912,0
148.624581359502,25.5850067138672,0
155.701452683984,24.3045196533203,0
163.115294563976,23.1147537231445,0
170.882152106148,22.0125732421875,0
179.018834417,20.9242935180664,0
187.542950981294,19.9153652191162,0
196.472949772663,18.9602737426758,0
205.828157178895,18.0546035766602,0
215.628819828277,17.1954803466797,0
225.896148407548,16.3795890808105,0
236.652363566259,15.6062927246094,0
247.92074400692,14.8700866699219,0
259.725676864983,14.1935119628906,0
272.092710487714,13.5053253173828,0
285.048609726167,12.8733444213867,0
298.621413859926,12.271858215332,0
312.84049727998,11.6989898681641,0
327.73663306106,11.1540031433105,0
343.342059561012,10.6342010498047,0
359.690550191364,10.1394500732422,0
376.817486510054,9.66877746582031,0
394.75993479454,9.219482421875,0
413.556726260981,8.791259765625,0
433.248541103127,8.38267517089844,0
453.877996532776,7.99397277832031,0
475.489739012349,7.62239074707031,0
498.130540879183,7.26817035675049,0
521.849401570669,6.9302978515625,0
546.697653669292,6.60734939575195,0
572.729073997099,6.29996490478516,0
599.999999999998,6.00616836547852,0

